amostra_id,atividade_id,troco_id,zona_ordem,valor,variavel,limite_inferior,limite_superior,razao
21682806144_89_Z3,21682806144,89,3,750.2930832356453,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_42_Z4,21703191468,42,4,723.0255839822017,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_43_Z4,21703191468,43,4,725.8399004562384,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_47_Z4,21703191468,47,4,726.7833109017479,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_51_Z4,21703191468,51,4,776.3323541754115,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_56_Z4,21703191468,56,4,839.0541571319619,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_58_Z3,21703191468,58,3,720.6443408223848,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_59_Z4,21703191468,59,4,733.886407147412,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_60_Z4,21703191468,60,4,739.8568019093062,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_67_Z3,21703191468,67,3,849.5416946121168,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_68_Z3,21703191468,68,3,784.4756399669685,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_71_Z3,21703191468,71,3,795.2653967079755,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_72_Z3,21703191468,72,3,848.6238532110021,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_73_Z3,21703191468,73,3,821.692686935089,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
21703191468_74_Z3,21703191468,74,3,851.6678495386802,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
